name,UserFees_info,Fees_info,Revenue_info,ProtocolRevenue_info,HoldersRevenue_info,SupplySideRevenue_info,total24h,total7d,total30d,id,symbol,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,status,pe30d,pe7d,pe24h,date
smardex,"
A minor fee is collected on each swap, functioning as trading fees.
The fees are set at 0.07% on Ethereum and 0.1% on other chains.
On other networks, fees may vary between different pairs and chains.
Refer to https://docs.smardex.io/overview/what-is-smardex/fees for detailed information.
","
A minor fee is collected on each swap, functioning as trading fees.
The fees are set at 0.07% on Ethereum and 0.1% on other chains.
On other networks, fees may vary between different pairs and chains.
Refer to https://docs.smardex.io/overview/what-is-smardex/fees for detailed information.
","0.02% of each swap on Ethereum is collected for staking pool (SDEX holders that staked). On other chains, fees are collected for liquidity providers and fees may vary between different pairs and chains. Refer to https://docs.smardex.io/overview/what-is-smardex/fees for detailed information.",Protocol has no revenue.,0.02% of each swap on Ethereum is collected for staking pool (SDEX holders that staked). On other chains staking is not available and fees are collected for buybacks SDEX and burns.,"0.05% of each swap on Ethereum is collected for liquidity providers. On other chains, fees collected for liquidity providers and fees may vary between different pairs and chains. Refer to https://docs.smardex.io/overview/what-is-smardex/fees for detailed information.",601.3050366453815,4648.061932266574,27259.157514087616,smardex,sdex,https://assets.coingecko.com/coins/images/29470/large/SDEX_logo_transparent_outside_240x240.png?1696930070,0.01281014,90.769021,374.0,127880320.0,2528287.0,0.01347649,0.0124497,-0.000352730581562934,-2.67974,-2470348.9596348405,-2.64947,7096783500.74863,9998333473.91131,10000000000.0,0.01544531,-17.08586,2023-11-20T18:35:03.812Z,0.00169891,653.79972,2023-03-20T13:36:34.848Z,,2023-12-06T19:09:36.422Z,,277.487852639033,433.96352822948404,413.5708736158955,2023-12-06 19:10:46.926613
solana,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,121314.32883496075,874102.8200664329,3392653.887889838,solana,sol,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,63.35,26915.627858,6.0,35690912885.0,2910714460.0,66.06,60.39,1.86,3.01934,877888980.0,3.3716,425472347.819514,564188826.698269,,259.96,-75.66375,2021-11-06T21:54:35.825Z,0.500801,12532.62315,2020-05-11T19:35:23.449Z,,2023-12-06T19:09:34.653Z,,661.1252023594272,684.2731195692205,607.8543803891558,2023-12-06 19:10:46.926613
solend,Interest paid by borrowers,Interest and fees paid by borrowers and the liquidated,Percentage of interest going to treasury,Percentage of interest going to treasury,,Interest paid to lenders,7472.16,51488.55,160480.15,solend,slnd,https://assets.coingecko.com/coins/images/19573/large/i6AMOwun_400x400.jpg?1696519005,1.27,45.606761,555.0,126233456.0,126504.0,1.56,1.26,-0.053440238560722886,-4.04879,-1842543.298399426,-3.88318,36128901.746695,100000000.0,100000000.0,16.65,-92.40199,2021-11-07T18:55:10.412Z,0.272877,363.60352,2023-01-02T06:14:37.552Z,,2023-12-06T19:09:37.006Z,,23.682451796478674,19.68366904443372,16.72207636573445,2023-12-06 19:10:46.926613
stakewise,Percentage of rewards paid to protocol,Staking rewards,Percentage of user rewards paid to protocol,Fee from users rewards,,Revenue earned by stETH holders,8768.074546134594,108485.98044082952,590294.037198186,stakewise,swise,https://assets.coingecko.com/coins/images/15044/large/stakewise200.png?1696514703,0.085748,28.319403,715.0,85746069.0,16805.16,0.08809,0.085124,-0.001552133755516952,-1.77794,-479707.9840401113,-1.6657,330270573.265308,1000000000.0,1000000000.0,0.358418,-76.07574,2021-10-27T08:31:17.182Z,0.02679452,220.02345,2021-07-20T11:35:35.975Z,,2023-12-06T19:09:32.320Z,,3.997923240426817,5.800934499641738,8.84885331109057,2023-12-06 19:10:46.926613
stride,Percentage of rewards paid to protocol,Fees are staking rewards earned by tokens staked with Stride. They are measured across Stride's LSD tokens' yields and converted to USD terms.,Stride collects 10% of liquid staked assets's staking rewards. These fees are measured across Stride's LSD tokens' yields and converted to USD terms.,Fee from users rewards,,Revenue earned by stETH holders,23350.86889191097,151698.76230542955,720129.1493789915,stride,strd,https://assets.coingecko.com/coins/images/27275/large/Stride_Token.png?1696526327,2.23,197.910254,214.0,197910254.0,188327.0,2.31,2.04,0.186643,9.14125,18868227.0,10.53843,88316135.734039,88316135.734039,100000000.0,50.0,-95.52149,2022-12-26T20:29:01.294Z,0.178275,1156.08979,2023-01-04T00:19:07.141Z,,2023-12-06T19:09:26.520Z,,22.902171340917267,28.991704201182085,23.220543804279355,2023-12-06 19:10:46.926613
synapse,Bridge fees paid by users,Bridge fees paid by users,Bridge fees that goes to the protocol,,,,9941.246369999999,62326.90485,262444.91485,synapse-2,syn,https://assets.coingecko.com/coins/images/18024/large/synapse_social_icon.png?1696517540,0.468321,89.037527,380.0,86597657.0,8916666.0,0.489469,0.463499,-0.0094987447255378,-1.98794,-2047134.8665063232,-2.24751,190117588.881215,184907850.0,250000000.0,4.92,-90.46434,2021-10-24T00:24:41.805Z,0.268266,74.72156,2023-10-09T17:35:08.081Z,,2023-12-06T19:09:30.077Z,,28.271814376389955,31.7457078267077,24.5380127458793,2023-12-06 19:10:46.926613
thorchain,Swap fees paid by users,Swap fees paid by users,Percentage of swap fees going to treasury and/or token holders,Percentage of swap fees going to treasury,Money going to governance token holders,Liquidity providers revenue,21315.56297033,115329.90998359998,941597.7325068099,thorchain,rune,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,6.49,1955.792011,39.0,3252059132.0,672360031.0,6.87,6.42,-0.05580083678305847,-0.85233,-6989868.255446911,-0.35612,300700561.0,500000000.0,500000000.0,20.87,-68.82954,2021-05-19T00:30:09.436Z,0.00851264,76310.11998,2019-09-28T00:00:00.000Z,"{'times': 169.81684636956163, 'currency': 'usd', 'percentage': 16981.684636956164}",2023-12-06T19:09:32.506Z,,173.0916100970481,376.8497235025089,251.3813162791343,2023-12-06 19:10:46.926613
tron,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,1467681.612237927,9176507.814115258,41401488.7402855,tron,trx,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.105418,9324.304789,12.0,9324315572.0,456115770.0,0.105627,0.102484,0.00175231,1.69035,166939835.0,1.82301,88491949435.8294,88492051772.1585,,0.231673,-54.53724,2018-01-05T00:00:00.000Z,0.00180434,5737.30007,2017-11-12T00:00:00.000Z,"{'times': 54.48315828395537, 'currency': 'usd', 'percentage': 5448.315828395537}",2023-12-06T19:09:29.058Z,,18.76805454889966,22.5801336724374,17.405710001950293,2023-12-06 19:10:46.926613
unibot,,,,,,,12952.597183957161,70449.48247375248,379120.8889145881,unibot,unibot,https://assets.coingecko.com/coins/images/30462/large/logonoline_%281%29.png?1696529349,64.99,64.134862,462.0,64134862.0,3269326.0,68.08,63.31,1.39,2.18176,468802.0,0.73635,1000000.0,1000000.0,1000000.0,236.98,-72.59349,2023-08-16T13:34:42.408Z,2.46,2535.56975,2023-05-22T09:19:33.417Z,,2023-12-06T19:09:35.261Z,,14.097276065781248,20.2303708346836,13.565769720883853,2023-12-06 19:10:46.926613
vertexprotocol,Fees paid by users,Fees paid by users,Treasury and token holders revenue,Fees going to treasury,Fees going to governance token holders,LPs revenue,313397.6377730891,933637.4094529841,2846583.8084922777,vertex-protocol,vrtx,https://assets.coingecko.com/coins/images/27927/large/vrtx.png?1696526947,0.388818,57.091579,491.0,389268708.0,5250688.0,0.449936,0.389054,-0.02376589850900379,-5.76025,-3531396.053723447,-5.82518,146663674.5388,1000000000.0,1000000000.0,0.520089,-25.14633,2023-11-28T10:04:12.565Z,0.228784,70.16289,2023-11-22T00:20:01.558Z,,2023-12-06T19:09:35.313Z,,1.6713477991196968,1.3588805918765454,0.49909529006966225,2023-12-06 19:10:46.926613
waves,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,180.559205,1514.8229327959,7375.4141237631175,waves,waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1696501700,2.3,228.672519,196.0,228672519.0,139.76,2.31,2.2,0.04868136,2.16636,2971675.0,1.31664,100000000.0,100000000.0,,61.3,-96.26471,2022-03-31T14:34:44.545Z,0.130878,1649.5832,2016-08-02T00:00:00.000Z,"{'times': 11.211878962167473, 'currency': 'usd', 'percentage': 1121.1878962167473}",2023-12-06T19:09:35.438Z,,2583.7251888816163,3354.591103234906,3469.776309963231,2023-12-06 19:10:46.926613
