name,UserFees_info,Fees_info,Revenue_info,ProtocolRevenue_info,HoldersRevenue_info,SupplySideRevenue_info,total24h,total7d,total30d,id,symbol,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,status,pe30d,pe7d,pe24h,date
dodo,Swap fees paid by users,Swap fees paid by users,Percentage of swap fees going to treasury and/or token holders,Percentage of swap fees going to treasury,Money going to governance token holders,Liquidity providers revenue,20328.51182213415,52992.192615782755,194797.8752103586,dodo,dodo,https://assets.coingecko.com/coins/images/12651/large/dodo_logo.png?1696512458,0.164,100.583777,345.0,162996191.0,85561840.0,0.171174,0.149228,0.00337339,2.10015,1404574.0,1.4162,614617713.35,995989104.366833,1000000000.0,8.38,-98.04734,2021-02-20T09:19:28.624Z,0.080974,102.00815,2023-06-10T14:15:17.108Z,,2023-12-06T19:09:28.224Z,,43.02912137832674,42.17970486049925,13.55593533810836,2023-12-06 19:10:46.926613
dydx,Fees paid by users,Fees paid by users,Treasury and token holders revenue,Fees going to treasury,Fees going to governance token holders,LPs revenue,419696.362622,1686291.253822,3987962.747793,dydx,ethdydx,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1696517040,2.99,539.072198,106.0,2990473090.0,228587979.0,3.13,2.87,-0.13541836900912418,-4.32778,-24334865.02380228,-4.31923,180263182.87829316,1000000000.0,1000000000.0,27.86,-89.26083,2021-09-30T01:23:43.570Z,1.011,196.05916,2022-06-18T20:55:50.603Z,,2023-12-06T19:09:28.431Z,,11.26456940740672,7.103981682064921,3.518996739166477,2023-12-06 19:10:46.926613
ethereum,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,12857877.750281855,73018376.90926525,258944915.8542819,ethereum,eth,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2272.17,273313.534161,2.0,273313534161.0,23698821507.0,2310.04,2246.38,-6.923821261095327,-0.3038,-884281488.7228394,-0.3225,120226648.323642,120226648.323642,,4878.26,-53.42558,2021-11-10T14:24:19.604Z,0.432979,524641.91548,2015-10-20T00:00:00.000Z,"{'times': 68.1436948237994, 'currency': 'btc', 'percentage': 6814.36948237994}",2023-12-06T19:09:31.390Z,,87.95742434876377,83.17952753200663,58.23699818303277,2023-12-06 19:10:46.926613
fantom,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,2392.3163485009504,20304.562357008428,478837.04686580907,fantom,ftm,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.338666,948.908263,67.0,1074599194.0,123390259.0,0.34586,0.328019,0.00825316,2.49783,26955703.0,2.92376,2803634835.52659,3175000000.0,3175000000.0,3.46,-90.2125,2021-10-28T05:19:39.845Z,0.00190227,17694.94433,2020-03-13T02:25:38.280Z,"{'times': 10.288862194844427, 'currency': 'usd', 'percentage': 1028.8862194844426}",2023-12-06T19:09:26.943Z,,165.14112494201763,1038.5276923543463,1086.7077288429907,2023-12-06 19:10:46.926613
fraxether,Percentage of rewards paid to protocol,Staking rewards,Percentage of user rewards paid to protocol,Fee from users rewards,,Revenue earned by stETH holders,0.0,365945.01440000004,1514886.8457,frax-ether,frxeth,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1696527284,2284.94,683.942097,86.0,683942097.0,4553053.0,2289.8,2245.57,6.8,0.29853,3165820.0,0.46503,299137.516528122,299137.516528122,,2294.25,-0.41721,2023-12-05T18:30:33.809Z,1137.25,100.8954,2022-11-23T02:25:33.267Z,,2023-12-06T19:09:24.899Z,,37.62338745747285,41.53277861043232,inf,2023-12-06 19:10:46.926613
gainsnetwork,Fees paid by users,Fees paid by users,Treasury and token holders revenue,Fees going to treasury,Fees going to governance token holders,LPs revenue,75392.5106407307,282548.1110494905,1576361.9654860334,gains-network,gns,https://assets.coingecko.com/coins/images/19737/large/logo.png?1696519161,3.87,130.721325,283.0,130721325.0,8294048.0,4.01,3.84,-0.06702271648119718,-1.70419,-2017821.2737284899,-1.52014,33815915.0,33815915.0,33815915.0,12.48,-69.02573,2023-02-17T07:55:07.998Z,0.265841,1353.99482,2021-11-29T05:56:42.899Z,,2023-12-06T19:09:37.322Z,,6.910496439592329,10.281145828734683,4.750347393854678,2023-12-06 19:10:46.926613
gnosis,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,1757.2348267437528,5314.945227257208,28916.37113546981,gnosis,gno,https://assets.coingecko.com/coins/images/662/large/logo_square_simple_300px.png?1696501854,192.86,499.798717,114.0,579009314.0,3632283.0,201.46,192.74,-8.599466364861229,-4.26857,-22473123.176915288,-4.30296,2589589.0,3000000.0,3000000.0,644.2,-70.08311,2021-11-08T17:33:29.302Z,6.88,2699.57213,2020-03-13T02:24:11.825Z,,2023-12-06T19:09:28.212Z,,1440.3568445088931,2089.6994570322536,779.2422120167415,2023-12-06 19:10:46.926613
hegic,IDK,IDK,IDK,IDK,IDK,IDK,30540.14,214031.81,556238.19,hegic,hegic,https://assets.coingecko.com/coins/images/12454/large/new.png?1696512274,0.03574193,38.511716,615.0,38511716.0,1696183.0,0.03591997,0.03263472,0.00302662,9.25137,3399043.0,9.68039,1077684725.0,1077684725.0,1077684725.0,0.642093,-94.43565,2021-02-13T16:55:14.277Z,0.0048443,637.53192,2022-05-12T22:50:04.705Z,,2023-12-06T19:09:58.345Z,,5.769667966643332,3.9985454083255716,3.4548482975170223,2023-12-06 19:10:46.926613
kwenta,Fees paid by users,Fees paid by users,Treasury and token holders revenue,Fees going to treasury,Fees going to governance token holders,LPs revenue,76960.5213925267,434004.5372980756,2360266.8898783107,kwenta,kwenta,https://assets.coingecko.com/coins/images/27409/large/kwenta.png?1696526450,173.76,91.995616,370.0,137986816.0,155279.0,183.22,172.63,-7.94894648437176,-4.37456,-4487020.331236914,-4.6506,528748.351640709,793084.544060185,,790.99,-78.03739,2023-03-14T13:16:00.736Z,53.82,222.75555,2023-09-15T11:06:19.417Z,,2023-12-06T19:09:39.426Z,,3.248065448110653,4.710427764072334,3.274962006508945,2023-12-06 19:10:46.926613
liquity,Interest paid to borrow,Interest paid by borrowers,Interest paid by borrowers,Interest paid by borrowers,,,10196.484643193846,76409.43354429628,428216.11317049054,liquity,lqty,https://assets.coingecko.com/coins/images/14665/large/200-lqty-icon.png?1696514340,1.51,142.70389,270.0,150971509.0,47881680.0,1.55,1.46,-0.006047279800484473,-0.39875,60766.0,0.0426,94523722.6203041,100000000.0,100000000.0,146.94,-98.97271,2021-04-05T21:48:37.754Z,0.54399,177.49158,2022-11-14T07:05:51.360Z,,2023-12-06T19:09:28.680Z,,27.771002696011678,41.50269683280849,38.34356401495763,2023-12-06 19:10:46.926613
litecoin,Gas fees paid by users,Gas fees paid by users,Burned coins,,,,1001.6133695407743,6235.112871686135,25674.763682806682,litecoin,ltc,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,73.8,5460.158144,19.0,6202109322.0,609830454.0,74.49,72.4,0.407763,0.55561,51095413.0,0.94463,73951176.9834713,84000000.0,84000000.0,410.26,-82.00614,2021-05-10T03:13:07.904Z,1.15,6325.73509,2015-01-14T00:00:00.000Z,,2023-12-06T19:09:26.773Z,,17722.195393423233,19460.248778404526,14935.241317396316,2023-12-06 19:10:46.926613
